DATE,gdp_percent_change,inflation_percent_change,unemployment_percent_change,LongTermRate,Slope,ZeroCouponYield1Y,ZeroCouponYield10Y,Recession,Regime
1967-11-30,0.6797570128944441,0.5934718100890191,0.0006635177687808,5.78043197895,-0.72248642015,5.363020000000001,6.118563175201416,0.0,0.0
1967-12-31,0.675167514366759,0.2949852507374784,-0.0256522717049032,5.759106856600001,0.2573909139,5.4826,6.10806941986084,0.0,0.0
1968-01-31,0.670639573825782,0.2941176470588225,-0.0083099293625609,5.552207194272727,-0.4485396723181818,5.199345454545455,5.960290908813477,0.0,0.0
1968-02-29,0.556791001498147,0.2932551319648091,-0.0085348506401137,5.646273129684211,6.229295445315789,5.180384210526316,6.020003318786621,0.0,1.0
1968-03-31,0.5537080051509102,0.2923976608186995,-0.0177809388335703,5.753962177380952,19.10053265752381,5.315371428571429,6.146447658538818,0.0,1.0
1968-04-30,0.5506589623950342,0.291545189504383,-0.0267899478425793,5.666595867,12.9559016201,5.34405,6.071877479553223,0.0,1.0
1968-05-31,0.2581728536812822,0.2906976744186051,0.001029601029601,5.948643717227273,4.5141956395,5.6904,6.334317684173584,0.0,1.0
1968-06-30,0.2575080378315775,0.5797101449275477,0.019047619047619,12.4625663262,-2.3106747689,5.576040000000001,6.12237024307251,0.0,1.0
1968-07-31,0.2568466370961308,0.5763688760806795,0.001029601029601,24.962752121818184,-19.65961269090909,5.286690909090908,5.940517902374268,0.0,1.0
1968-08-31,0.1309246996750168,0.2865329512893977,-0.0275418275418275,11.117478782545454,-5.213644658181818,4.987377272727273,5.885235786437988,0.0,1.0
1968-09-30,0.130753511033399,0.2857142857142891,-0.0275418275418275,5.63725263275,0.414466364,4.99722,5.903574466705322,0.0,1.0
1968-10-31,0.130582769477483,0.5698005698005604,-0.0095238095238095,5.737690104826087,0.4469627290869565,5.054434782608696,5.990156650543213,0.0,1.0
1968-11-30,0.5214768897025657,0.2832861189801638,0.0,5.805802895111111,0.8547523343888889,5.238133333333334,6.0405802726745605,0.0,1.0
1968-12-31,0.5187716156167754,0.5649717514124353,0.0,6.096337674380953,2.859971633238095,5.662319047619048,6.445624351501465,0.0,1.0
1969-01-31,0.5160942650598299,0.2808988764045006,0.0,6.078755962727272,2.1951461581363634,5.913468181818181,6.504971981048584,0.0,1.0
